variant,orth,retain_sep,anchor,model_utility,forget_Q_A_Prob,mia_auc,split
LatentRMU_full,1,1,1,0.5979953745469511,0.045288320128602205,0.10592499999999999,forget05
LatentRMU_no_orth,0,1,1,0.5862911390898987,0.06424655817652819,0.14182499999999998,forget05
LatentRMU_no_retain_sep,1,0,1,0.5850864241084797,0.03904815927987329,0.07697500000000002,forget05
LatentRMU_no_anchor,1,1,0,0.5908480605069805,0.14090593229979276,0.43125,forget05
LatentRMU_orth_only,1,0,0,0.5805476406181719,0.3187042001634836,,forget01
LatentRMU_retain_sep_only,0,1,0,0.5803939277880418,0.2983435679227114,,forget01
LatentRMU_anchor_only,0,0,1,0.5850864241084797,0.03904815927987329,0.07697500000000002,forget05
LatentRMU_no_phase1,0,0,0,0.5837854119603669,0.1133832324296236,,forget01
