variant,forget_quality,model_utility,privleak,forget_Q_A_ROUGE,retain_Q_A_ROUGE,ra_Q_A_ROUGE,forget_truth_ratio,retain_Truth_Ratio,forget_Q_A_Prob,retain_Q_A_Prob,mia_auc
LatentRMU_anchor_only_forget01,0.01430154804770646,0.5900404517717622,-96.45808734895716,0.5504943508159952,0.6776732729255585,0.7795000000000001,0.47107421574074576,0.5163034035963148,0.7057768404483795,0.8234489651024341,0.9812500000000001
LatentRMU_full_forget01,0.006760732303569208,0.6001686073802046,-99.9999999811098,0.8641421319127724,0.7970223967619762,0.8170000000000001,0.4723990791709015,0.5176036646724019,0.901246526837349,0.870472990423441,1.0
LatentRMU_no_anchor_forget01,0.006760732303569208,0.6001686073802046,-99.9999999811098,0.8641421319127724,0.7970223967619762,0.8170000000000001,0.4723990791709015,0.5176036646724019,0.901246526837349,0.870472990423441,1.0
LatentRMU_no_orth_forget01,0.01430154804770646,0.6004684024555956,-99.9999999811098,0.8704300107006514,0.8010922933815553,0.8170000000000001,0.4723711191847844,0.5174096429921028,0.9017945393919945,0.8709410674870014,1.0
LatentRMU_no_phase1_forget01,0.006760732303569208,0.6005878130065032,-99.9999999811098,0.8244043285330289,0.7811343496975873,0.8495,0.47875439003806675,0.5214436973333498,0.8842354744672776,0.8617169304192066,1.0
LatentRMU_no_retain_sep_forget01,0.006760732303569208,0.6012001831491742,-99.9999999811098,0.8412334448255351,0.7739150172520213,0.8170000000000001,0.4715211977388791,0.5171931356471993,0.8916535049676895,0.867264160439372,1.0
LatentRMU_orth_sep_only_forget01,0.006760732303569208,0.5913460527271986,-99.40968120908434,0.6569590976034503,0.7441771034754464,0.7695000000000001,0.4706825002459036,0.5208754512777741,0.8095241442322731,0.8425263659656048,0.996875
