variant,phase1_components,forget_quality,model_utility,privleak,forget_Q_A_ROUGE,retain_Q_A_ROUGE,ra_Q_A_ROUGE,forget_truth_ratio,retain_Truth_Ratio,forget_Q_A_Prob,retain_Q_A_Prob,mia_auc
LatentRMU_full,orth + retain_sep + anchor,0.02860307028023343,0.585138801505,-33.05785123342475,0.3764973831611296,0.6720791745518633,0.797,0.5557285536098557,0.5008186245493783,0.23207046873867512,0.8156839539855718,
LatentRMU_no_orth,retain_sep + anchor,0.02860307028023343,0.5853887782854048,-27.15466351317032,0.38604332496767946,0.675363888267857,0.797,0.5551243820350097,0.5007665728654294,0.22014190019108354,0.8166712369769812,
LatentRMU_no_retain_sep,orth + anchor,0.7659314523482239,0.5823561101263066,25.38370719709397,0.22127837299451594,0.6387676229792996,0.8398333333333333,0.5887156187558951,0.4963322962558668,0.12366357172140852,0.7892551450431347,
LatentRMU_no_anchor,orth + retain_sep,0.006760732303569208,0.579947431689887,-49.232585586921815,0.4363211334949453,0.6846068508230317,0.777,0.4704470343807395,0.5067248297360811,0.2907007228583097,0.813295191898942,
LatentRMU_no_phase1,none,0.404587405685253,0.5837854119603669,21.723730810536246,0.3430090627217163,0.7328850431042605,0.7395,0.6736751483818597,0.5105908137046634,0.1133832324296236,0.8375920283794404,
LatentRMU_orth_only,orth,0.006760732303569208,0.5805476406181719,-70.7201888886479,0.3647198603303745,0.6790706097225021,0.782,0.518931377918627,0.5083041519707556,0.3187042001634836,0.8104627748578787,
LatentRMU_retain_sep_only,retain_sep,0.003018184077228396,0.5803939277880418,-53.01062572788465,0.42887549690986687,0.6827413236555614,0.777,0.4668242812569162,0.5068409951980866,0.2983435679227114,0.8126103108376265,
LatentRMU_anchor_only,anchor,0.9188052214121167,0.581347763007417,29.752066110082247,0.20070481522250366,0.6421358284196692,0.8286666666666668,0.5946203145245448,0.4959009117901775,0.11467070236103609,0.7955095030367374,
