variant,eval_from,forget_quality,model_utility,privleak,forget_Q_A_ROUGE,retain_Q_A_ROUGE,ra_Q_A_ROUGE,forget_truth_ratio,retain_Truth_Ratio,forget_Q_A_Prob,retain_Q_A_Prob,mia_auc
LatentRMU_anchor_only,final,0.06801920461119272,0.5850864241084797,44.76552696913967,0.10231525343332246,0.673165758623918,0.8220000000000001,0.5175058801161172,0.49980511728328664,0.03904815927987329,0.8128349629789591,0.07697500000000002
LatentRMU_full,final,0.11228360286766195,0.5979953745469511,40.225062728948394,0.13883778651750264,0.7282797277212018,0.8270000000000001,0.5677723817394922,0.5111852970134494,0.045288320128602205,0.8401515990495682,0.10592499999999999
LatentRMU_no_anchor,final,0.0001183661896190048,0.5908480605069805,-10.798306146361616,0.3300216316935574,0.7263862139101228,0.7695000000000001,0.6023283443469652,0.5119540536933656,0.14090593229979276,0.8381966990977525,0.43125
LatentRMU_no_orth,final,0.220541217580421,0.5862911390898987,34.594573394825204,0.1779451162282702,0.7119314925725387,0.772,0.5752274688534019,0.5072468107050776,0.06424655817652819,0.825957173705101,0.14182499999999998
LatentRMU_no_retain_sep,final,0.06801920461119272,0.5850864241084797,44.76552696913967,0.10231525343332246,0.673165758623918,0.8220000000000001,0.5175058801161172,0.49980511728328664,0.03904815927987329,0.8128349629789591,0.07697500000000002
LatentRMU_orth_only,MISSING,,,,,,,,,,,
